name,latitude,longitude
ANG MO KIO,1.369115,103.845434
BEDOK,1.323604,103.927341
BISHAN,1.352585,103.835212
BUKIT BATOK,1.359029,103.76368
BUKIT MERAH,1.281905,103.823918
BUKIT PANJANG,1.377414,103.77195
BUKIT TIMAH,1.329411,103.802078
CENTRAL WATER CATCHMENT,1.3552,103.7972
CHOA CHU KANG,1.38398,103.746961
CLEMENTI,1.316181,103.764938
GEYLANG,1.320054,103.891775
HOUGANG,1.361218,103.886253
JURONG EAST,1.332857,103.743552
JURONG WEST,1.34039,103.708988
KALLANG,1.324513,103.857225
MARINE PARADE,1.301969,103.897082
PASIR RIS,1.372094,103.947373
PUNGGOL,1.398446,103.907205
QUEENSTOWN,1.294166,103.786127
SEMBAWANG,1.449111,103.818495
SENGKANG,1.386812,103.891443
SERANGOON,1.355357,103.867871
TAMPINES,1.349591,103.956788
TOA PAYOH,1.334304,103.856327
WOODLANDS,1.438192,103.78896
YISHUN,1.430368,103.835363
CHANGI,1.344953236,103.9825974
CHANGI BAY,1.322243991,104.0277835
NOVENA,1.320859422,103.8423635
PAYA LEBAR,1.351608824,103.8994439
SELETAR,1.405087901,103.866992
BOON LAY,1.314288526,103.7089695
TENGAH,1.355267991,103.7317311
WESTERN WATER CATCHMENT,1.3472,103.6825
DOWNTOWN CORE,1.287953,103.851784
MARINA EAST,1.2913,103.8709
NEWTON,1.3076,103.8404
ORCHARD,1.3048,103.8318
MARINA SOUTH,1.2793,103.8702
MUSEUM,1.296681306,103.8484915
LIM CHU KANG,1.4305,103.7173
MANDAI,1.426,103.8241
NORTH-EASTERN ISLANDS,1.4064,104.0323
PIONEER,1.322780809,103.6789601
SOUTHERN ISLANDS,1.2537,103.8257
TUAS,1.2949,103.6305
SIMPANG,1.4443,103.8428
SUNGEI KADUT,1.4074,103.7562
WESTERN ISLANDS,1.2479,103.6768
TANGLIN,1.3069,103.8189
OUTRAM,1.2849,103.8439
RIVER VALLEY,1.2959,103.8361
ROCHOR,1.3051,103.8509
SINGAPORE RIVER,1.2874,103.846
STRAITS VIEW,1.2729,103.8627
